,Family,genuses
527,Asteraceae,"['Acamptopappus', 'Acanthospermum', 'Achillea', 'Achyrachaena', 'Acmella', 'Acourtia', 'Acroptilon', 'Adenocaulon', 'Adenophyllum', 'Adenostemma', 'Ageratina', 'Ageratum', 'Agnorhiza', 'Agoseris', 'Almutaster', 'Amauriopsis', 'Amberboa', 'Amblyolepis', 'Amblyopappus', 'Ambrosia', 'Ampelaster', 'Amphiachyris', 'Amphipappus', 'Anacyclus', 'Anaphalis', 'Ancistrocarphus', 'Anisocarpus', 'Anisocoma', 'Antennaria', 'Anthemis', 'Antheropeas', 'Aphanostephus', 'Arctanthemum', 'Arctium', 'Arctotheca', 'Arctotis', 'Argyranthemum', 'Argyroxiphium', 'Arida', 'Arnica', 'Arnoglossum', 'Arnoseris', 'Artemisia', 'Asanthus', 'Aster', 'Astranthium', 'Atrichoseris', 'Ayapana', 'Baccharis', 'Bahia', 'Bahiopsis', 'Baileya', 'Balduina', 'Balsamita', 'Balsamorhiza', 'Baltimora', 'Barkleyanthus', 'Bartlettia', 'Bartlettina', 'Bebbia', 'Bellis', 'Benitoa', 'Berkheya', 'Berlandiera', 'Berylsimpsonia', 'Bethencourtia', 'Bidens', 'Bigelowia', 'Blennosperma', 'Blepharipappus', 'Blepharizonia', 'Blumea', 'Boltonia', 'Bombycilaena', 'Borrichia', 'Bradburia', 'Brickellia', 'Brickelliastrum', 'Brintonia', 'Buphthalmum', 'Cacaliopsis', 'Calendula', 'Callistephus', 'Calotis', 'Calycadenia', 'Calycoseris', 'Calyptocarpus', 'Canadanthus', 'Carduus', 'Carlina', 'Carlquistia', 'Carminatia', 'Carphephorus', 'Carphochaete', 'Carthamus', 'Castalis', 'Catananche', 'Celmisia', 'Centaurea', 'Centipeda', 'Centratherum', 'Centromadia', 'Chaenactis', 'Chaetadelpha', 'Chaetopappa', 'Chamaechaenactis', 'Chamaemelum', 'Chaptalia', 'Chloracantha', 'Chondrilla', 'Chorisiva', 'Chromolaena', 'Chrysactinia', 'Chrysanthellum', 'Chrysanthemoides', 'Chrysanthemum', 'Chrysogonum', 'Chrysoma', 'Chrysopsis', 'Chrysothamnus', 'Cichorium', 'Cineraria', 'Cirsium', 'Cladanthus', 'Clappia', 'Clibadium', 'Columbiadoria', 'Condylidium', 'Conoclinium', 'Constancea', 'Conyza', 'Coreocarpus', 'Coreopsis', 'Corethrogyne', 'Cosmos', 'Cota', 'Cotula', 'Crassocephalum', 'Crepis', 'Critonia', 'Crocidium', 'Croptilon', 'Crupina', 'Cuniculotinus', 'Curio', 'Cyanthillium', 'Cyclachaena', 'Cymophora', 'Cynara', 'Dahlia', 'Deinandra', 'Delairea', 'Dendranthema', 'Dendrophorbium', 'Diaperia', 'Dichaetophora', 'Dicoria', 'Dicranocarpus', 'Dieteria', 'Dimeresia', 'Dimorphotheca', 'Dittrichia', 'Doellingeria', 'Doronicum', 'Dubautia', 'Dysodiopsis', 'Dyssodia', 'Eastwoodia', 'Eatonella', 'Echinacea', 'Echinops', 'Eclipta', 'Egletes', 'Elephantopus', 'Eleutheranthera', 'Emilia', 'Encelia', 'Enceliopsis', 'Engelmannia', 'Enydra', 'Epaltes', 'Erato', 'Erechtites', 'Ericameria', 'Erigeron', 'Eriophyllum', 'Erlangea', 'Espeletia', 'Eucephalus', 'Euchiton', 'Eupatoriadelphus', 'Eupatorium', 'Euphrosyne', 'Eurybia', 'Euryops', 'Euthamia', 'Eutrochium', 'Facelis', 'Felicia', 'Filago', 'Filifolium', 'Fitchia', 'Flaveria', 'Fleischmannia', 'Florestina', 'Flourensia', 'Flyriella', 'Gaillardia', 'Galatella', 'Galinsoga', 'Gamochaeta', 'Garberia', 'Gazania', 'Geraea', 'Gerbera', 'Glebionis', 'Glossogyne', 'Glyptopleura', 'Gnaphalium', 'Gochnatia', 'Greenella', 'Grindelia', 'Guardiola', 'Guizotia', 'Gundelia', 'Gundlachia', 'Gutierrezia', 'Gymnosperma', 'Gynura', 'Haplocarpha', 'Haploesthes', 'Haplopappus', 'Harmonia', 'Hartwrightia', 'Hasteola', 'Hazardia', 'Hebeclinium', 'Hecastocleis', 'Hedosyne', 'Hedypnois', 'Helenium', 'Helianthella', 'Helianthus', 'Helichrysum', 'Heliomeris', 'Heliopsis', 'Helminthotheca', 'Hemizonella', 'Hemizonia', 'Herrickia', 'Hertia', 'Hesperevax', 'Hesperodoria', 'Hesperomannia', 'Heteranthemis', 'Heteropappus', 'Heterosperma', 'Heterotheca', 'Hieracium', 'Hofmeisteria', 'Holocarpha', 'Holozonia', 'Hulsea', 'Hulteniella', 'Humbertacalia', 'Hymenoclea', 'Hymenopappus', 'Hymenothrix', 'Hymenoxys', 'Hypochaeris', 'Inula', 'Ionactis', 'Ismelia', 'Isocarpha', 'Isocoma', 'Iva', 'Ixeris', 'Jacobaea', 'Jamesianthus', 'Jaumea', 'Jefea', 'Jensia', 'Kalimeris', 'Keysseria', 'Kleinia', 'Koanophyllon', 'Krigia', 'Kyhosia', 'Lactuca', 'Laennecia', 'Lagascea', 'Lagophylla', 'Lapsana', 'Lapsanastrum', 'Lasianthaea', 'Lasiospermum', 'Lasthenia', 'Launaea', 'Layia', 'Leibnitzia', 'Leontodon', 'Lepidaploa', 'Lepidospartum', 'Lessingia', 'Leucanthemella', 'Leucanthemopsis', 'Leucanthemum', 'Leuciva', 'Liatris', 'Ligularia', 'Lindheimera', 'Lipochaeta', 'Logfia', 'Lorandersonia', 'Luina', 'Lygodesmia', 'Machaeranthera', 'Madia', 'Malacothrix', 'Malperia', 'Mantisalca', 'Marshallia', 'Matricaria', 'Mauranthemum', 'Melampodium', 'Melanthera', 'Micropsis', 'Micropus', 'Microseris', 'Mikania', 'Monolopia', 'Monoptilon', 'Montanoa', 'Mulgedium', 'Munzothamnus', 'Mycelis', 'Neonesomia', 'Nestotus', 'Neurolaena', 'Nicolletia', 'Nipponanthemum', 'Nothocalais', 'Oclemena', 'Olearia', 'Oligoneuron', 'Omalotheca', 'Oncosiphon', 'Onopordum', 'Oonopsis', 'Oreochrysum', 'Oreostemma', 'Orochaenactis', 'Osmadenia', 'Osteospermum', 'Oxytenia', 'Packera', 'Palafoxia', 'Parasenecio', 'Parthenice', 'Parthenium', 'Pascalia', 'Pectis', 'Pentachaeta', 'Pentanema', 'Pentzia', 'Perezia', 'Pericallis', 'Pericome', 'Perityle', 'Petasites', 'Petradoria', 'Peucephyllum', 'Phalacroseris', 'Phoebanthus', 'Phymaspermum', 'Picradeniopsis', 'Picris', 'Picrothamnus', 'Pinaropappus', 'Piptocarpha', 'Piptocoma', 'Pityopsis', 'Plateilema', 'Platyschkuhria', 'Plectocephalus', 'Pleiacanthus', 'Pleurocoronis', 'Pluchea', 'Podocoma', 'Polymnia', 'Porophyllum', 'Prenanthella', 'Prenanthes', 'Proustia', 'Psacalium', 'Psathyrotes', 'Psathyrotopsis', 'Pseudelephantopus', 'Pseudobahia', 'Pseudoclappia', 'Pseudognaphalium', 'Pseudogynoxys', 'Psilactis', 'Psilocarphus', 'Psilostrophe', 'Pterocaulon', 'Pulicaria', 'Pyrrhopappus', 'Pyrrocoma', 'Rafinesquia', 'Raillardella', 'Rainiera', 'Ratibida', 'Rayjacksonia', 'Reichardia', 'Remya', 'Rhagadiolus', 'Rhaponticum', 'Rhodanthe', 'Rigiopappus', 'Rolandra', 'Roldana', 'Rudbeckia', 'Rugelia', 'Sachsia', 'Salmea', 'Santolina', 'Sanvitalia', 'Sartwellia', 'Saussurea', 'Scabrethia', 'Schkuhria', 'Sclerocarpus', 'Sclerolepis', 'Scolymus', 'Scorzonera', 'Senecio', 'Sericocarpus', 'Serratula', 'Shinnersia', 'Shinnersoseris', 'Sigesbeckia', 'Silphium', 'Silybum', 'Simsia', 'Sinosenecio', 'Smallanthus', 'Solidago', 'Soliva', 'Sonchus', 'Sparganophorus', 'Sphaeromeria', 'Sphagneticola', 'Spilanthes', 'Spiracantha', 'Stebbinsoseris', 'Stenotus', 'Stephanomeria', 'Stevia', 'Stokesia', 'Struchium', 'Stylocline', 'Symphyotrichum', 'Synedrella', 'Synedrellopsis', 'Syntrichopappus', 'Tagetes', 'Tamaulipa', 'Tanacetum', 'Taraxacum', 'Telanthophora', 'Tephroseris', 'Tetradymia', 'Tetragonotheca', 'Tetramolopium', 'Tetraneuris', 'Thelesperma', 'Thurovia', 'Thymophylla', 'Tithonia', 'Toiyabea', 'Tolpis', 'Tonestus', 'Townsendia', 'Tracyina', 'Tragopogon', 'Trichocoronis', 'Trichoptilium', 'Tridax', 'Triniteurybia', 'Tripleurospermum', 'Tripolium', 'Trixis', 'Tussilago', 'Uropappus', 'Urospermum', 'Varilla', 'Venegasia', 'Venidium', 'Verbesina', 'Vernonia', 'Vesicarpa', 'Viguiera', 'Volutaria', 'Wedelia', 'Wilkesia', 'Wollastonia', 'Wyethia', 'X', 'Xanthisma', 'Xanthium', 'Xanthocephalum', 'Xerochrysum', 'Xylorhiza', 'Yermo', 'Youngia', 'Zaluzania', 'Zexmenia', 'Zinnia']"
528,Calyceraceae,"['Acicarpha', 'Calycera']"
529,Campanulaceae,"['Asyneuma', 'Brighamia', 'Campanula', 'Canarina', 'Centropogon', 'Clermontia', 'Codonopsis', 'Cyanea', 'Delissea', 'Downingia', 'Githopsis', 'Heterocodon', 'Hippobroma', 'Howellia', 'Jasione', 'Legenere', 'Legousia', 'Lobelia', 'Nemacladus', 'Palmerella', 'Platycodon', 'Porterella', 'Trematolobelia', 'Triodanis', 'Wahlenbergia']"
530,Goodeniaceae,"['Brunonia', 'Scaevola']"
531,Menyanthaceae,"['Menyanthes', 'Nephrophyllidium', 'Nymphoides']"
532,Pentaphragmataceae,[]
533,Phellinaceae,[]
534,Rousseaceae,[]
535,Stylidiaceae,[]
536,Boraginaceae,"['Alkanna', 'Amsinckia', 'Anchusa', 'Antiphytum', 'Asperugo', 'Borago', 'Bothriospermum', 'Brunnera', 'Buglossoides', 'Carmona', 'Cerinthe', 'Coldenia', 'Cryptantha', 'Cynoglossum', 'Cynoglottis', 'Dasynotus', 'Echium', 'Eriodictyon', 'Eritrichium', 'Hackelia', 'Harpagonella', 'Lappula', 'Lindelofia', 'Lithospermum', 'Mertensia', 'Myosotidium', 'Myosotis', 'Nama', 'Nonea', 'Omphalodes', 'Onosma', 'Onosmodium', 'Pectocarya', 'Pentaglottis', 'Plagiobothrys', 'Pulmonaria', 'Symphytum', 'Trigonotis', 'Turricula', 'Wigandia']"
537,Codonaceae,[]
538,Cordiaceae,"['Cordia', 'Varronia']"
539,Ehretiaceae,"['Bourreria', 'Ehretia', 'Pholisma', 'Rochefortia', 'Tiquilia']"
540,Heliotropiaceae,"['Euploca', 'Heliotropium', 'Myriopus', 'Tournefortia']"
541,Hydrophyllaceae,"['Draperia', 'Ellisia', 'Emmenanthe', 'Eucrypta', 'Hesperochiron', 'Hydrophyllum', 'Nemophila', 'Phacelia', 'Pholistoma', 'Romanzoffia', 'Tricardia']"
542,Wellstediaceae,[]
543,Bruniaceae,[]
544,Columelliaceae,['Desfontainia']
545,Cornaceae,['Cornus']
546,Curtisiaceae,[]
547,Grubbiaceae,[]
548,Hydrangeaceae,"['Broussaisia', 'Carpenteria', 'Decumaria', 'Deutzia', 'Fendlera', 'Fendlerella', 'Hydrangea', 'Jamesia', 'Philadelphus', 'Schizophragma', 'Whipplea']"
549,Hydrostachyaceae,[]
550,Loasaceae,"['Cevallia', 'Eucnide', 'Mentzelia', 'Petalonyx']"
551,Nyssaceae,"['Camptotheca', 'Nyssa']"
552,Adoxaceae,"['Adoxa', 'Sambucus', 'Viburnum']"
553,Caprifoliaceae,"['Leycesteria', 'Lonicera', 'Symphoricarpos', 'Triosteum']"
554,Diervillaceae,"['Diervilla', 'Weigela']"
555,Dipsacaceae,"['Cephalaria', 'Dipsacus', 'Knautia', 'Lomelosia', 'Scabiosa', 'Succisa', 'Succisella']"
556,Linnaeaceae,"['Abelia', 'Kolkwitzia', 'Linnaea']"
557,Valerianaceae,"['Centranthus', 'Plectritis', 'Valeriana', 'Valerianella']"
558,Actinidiaceae,['Actinidia']
559,Balsaminaceae,['Impatiens']
560,Clethraceae,['Clethra']
561,Cyrillaceae,"['Cliftonia', 'Cyrilla']"
562,Diapensiaceae,"['Diapensia', 'Galax', 'Pyxidanthera', 'Shortia']"
563,Ebenaceae,['Diospyros']
564,Ericaceae,"['Agarista', 'Allotropa', 'Andromeda', 'Arbutus', 'Arctostaphylos', 'Arctous', 'Bejaria', 'Calluna', 'Cassiope', 'Ceratiola', 'Chamaedaphne', 'Chimaphila', 'Comarostaphylis', 'Corema', 'Elliottia', 'Empetrum', 'Enkianthus', 'Epigaea', 'Erica', 'Eubotrys', 'Gaultheria', 'Gaylussacia', 'Gonocalyx', 'Harrimanella', 'Hemitomes', 'Hypopitys', 'Kalmia', 'Kalmiopsis', 'Leptecophylla', 'Leucothoe', 'Lyonia', 'Menziesia', 'Moneses', 'Monotropa', 'Monotropsis', 'Ornithostaphylos', 'Orthilia', 'Oxydendrum', 'Phyllodoce', 'Pieris', 'Pityopus', 'Pleuricospora', 'Pterospora', 'Pyrola', 'Rhododendron', 'Sarcodes', 'Styphelia', 'Symphysia', 'Therorhodion', 'Vaccinium', 'Xylococcus', 'Zenobia']"
565,Fouquieriaceae,['Fouquieria']
566,Lecythidaceae,"['Barringtonia', 'Bertholletia', 'Couroupita', 'Eschweilera', 'Lecythis']"
567,Marcgraviaceae,['Marcgravia']
568,Mitrastemonaceae,[]
569,Pentaphylacaceae,"['Cleyera', 'Eurya', 'Ternstroemia']"
570,Polemoniaceae,"['Aliciella', 'Allophyllum', 'Cantua', 'Collomia', 'Eriastrum', 'Gilia', 'Giliastrum', 'Gymnosteris', 'Ipomopsis', 'Langloisia', 'Lathrocasis', 'Leptodactylon', 'Leptosiphon', 'Linanthus', 'Loeselia', 'Loeseliastrum', 'Microsteris', 'Navarretia', 'Phlox', 'Polemonium', 'Saltugilia']"
571,Primulaceae,"['Anagallis', 'Androsace', 'Ardisia', 'Bonellia', 'Cybianthus', 'Cyclamen', 'Discocalyx', 'Embelia', 'Hottonia', 'Jacquinia', 'Lysimachia', 'Maesa', 'Myrsine', 'Parathesis', 'Primula', 'Samolus', 'Stylogyne', 'Trientalis', 'Wallenia']"
572,Roridulaceae,[]
573,Sapotaceae,"['Baillonella', 'Chrysophyllum', 'Diploknema', 'Madhuca', 'Manilkara', 'Micropholis', 'Mimusops', 'Nesoluma', 'Palaquium', 'Pouteria', 'Sideroxylon', 'Synsepalum', 'Vitellaria']"
574,Sarraceniaceae,"['Darlingtonia', 'Heliamphora', 'Sarracenia']"
575,Sladeniaceae,[]
576,Styracaceae,"['Halesia', 'Pterostyrax', 'Styrax']"
577,Symplocaceae,['Symplocos']
578,Tetrameristaceae,[]
579,Theaceae,"['Camellia', 'Franklinia', 'Gordonia', 'Laplacea', 'Stewartia']"
580,Escalloniaceae,['Escallonia']
581,Eucommiaceae,['Eucommia']
582,Garryaceae,"['Aucuba', 'Garrya']"
583,Apocynaceae,"['Adenium', 'Allamanda', 'Allotoonia', 'Alstonia', 'Alyxia', 'Amsonia', 'Anechites', 'Angadenia', 'Apocynum', 'Araujia', 'Asclepias', 'Brachystelma', 'Calotropis', 'Caralluma', 'Carissa', 'Catharanthus', 'Cerbera', 'Ceropegia', 'Cryptostegia', 'Cycladenia', 'Cynanchum', 'Dischidia', 'Dyera', 'Echites', 'Edithcolea', 'Fernaldia', 'Forsteronia', 'Funastrum', 'Funtumia', 'Gomphocarpus', 'Gonolobus', 'Gymnema', 'Hancornia', 'Haplophyton', 'Holarrhena', 'Hoodia', 'Hoya', 'Kopsia', 'Landolphia', 'Larryleachia', 'Lavrania', 'Lepinia', 'Macroscepis', 'Mandevilla', 'Marsdenia', 'Matelea', 'Metalepis', 'Metaplexis', 'Metastelma', 'Morrenia', 'Nerium', 'Ochrosia', 'Orbea', 'Orthosia', 'Oxypetalum', 'Pachypodium', 'Pentalinon', 'Pergularia', 'Periploca', 'Pherotrichis', 'Pinochia', 'Plumeria', 'Polystemma', 'Prestonia', 'Pteralyxia', 'Rauvolfia', 'Rhabdadenia', 'Riocreuxia', 'Saba', 'Seutera', 'Stapelia', 'Strophanthus', 'Tabernaemontana', 'Telosma', 'Thevetia', 'Thyrsanthella', 'Trachelospermum', 'Tylophora', 'Vallesia', 'Vinca', 'Vincetoxicum']"
584,Gelsemiaceae,['Gelsemium']
585,Gentianaceae,"['Bartonia', 'Centaurium', 'Cicendia', 'Comastoma', 'Enicostema', 'Eustoma', 'Fagraea', 'Frasera', 'Gentiana', 'Gentianella', 'Gentianopsis', 'Halenia', 'Lisianthius', 'Lomatogonium', 'Obolaria', 'Prepusa', 'Sabatia', 'Schenkia', 'Schultesia', 'Swertia', 'Voyria', 'Zeltnera']"
586,Loganiaceae,"['Chilianthus', 'Geniostoma', 'Labordia', 'Mitreola', 'Neuburgia', 'Spigelia', 'Strychnos']"
587,Rubiaceae,"['Aidia', 'Antirhea', 'Arcytophyllum', 'Asperula', 'Bikkia', 'Bobea', 'Bouvardia', 'Breonia', 'Calycophyllum', 'Canthium', 'Carapichea', 'Casasia', 'Catesbaea', 'Cephalanthus', 'Chiococca', 'Chione', 'Cinchona', 'Coccocypselum', 'Coffea', 'Colleteria', 'Coprosma', 'Crucianella', 'Cruciata', 'Crusea', 'Damnacanthus', 'Dentella', 'Diodella', 'Diodia', 'Dolichopentas', 'Erithalis', 'Ernodea', 'Exostema', 'Faramea', 'Galium', 'Gardenia', 'Genipa', 'Geophila', 'Gonzalagunia', 'Guettarda', 'Hamelia', 'Hedyotis', 'Hillia', 'Houstonia', 'Hydnophytum', 'Hydrophylax', 'Ixora', 'Kadua', 'Kelloggia', 'Lasianthus', 'Luculia', 'Lucya', 'Machaonia', 'Margaritopsis', 'Mitchella', 'Mitracarpus', 'Morinda', 'Mussaenda', 'Neanotis', 'Neolamarckia', 'Neonauclea', 'Nertera', 'Notopleura', 'Oldenlandia', 'Oldenlandiopsis', 'Paederia', 'Palicourea', 'Pentanisia', 'Pentas', 'Pentodon', 'Phialanthus', 'Pinckneya', 'Plocama', 'Posoqueria', 'Psychotria', 'Psydrax', 'Randia', 'Richardia', 'Rondeletia', 'Rosenbergiodendron', 'Rubia', 'Sabicea', 'Sarcopygme', 'Schradera', 'Scolosanthus', 'Scyphiphora', 'Serissa', 'Sherardia', 'Spermacoce', 'Stenaria', 'Stenostomum', 'Strumpfia', 'Tarenna', 'Timonius', 'Uncaria', 'Valantia', 'Vangueria', 'Wittmackanthus']"
588,Acanthaceae,"['Acanthus', 'Andrographis', 'Anisacanthus', 'Aphelandra', 'Asystasia', 'Avicennia', 'Barleria', 'Barleriola', 'Blechum', 'Carlowrightia', 'Crossandra', 'Dicliptera', 'Dyschoriste', 'Elytraria', 'Eranthemum', 'Graptophyllum', 'Hemigraphis', 'Henrya', 'Holographis', 'Hygrophila', 'Hypoestes', 'Justicia', 'Lepidagathis', 'Megaskepasma', 'Nelsonia', 'Nomaphila', 'Odontonema', 'Oplonia', 'Pachystachys', 'Pseuderanthemum', 'Ruellia', 'Sanchezia', 'Siphonoglossa', 'Stenandrium', 'Strobilanthes', 'Teliostachya', 'Tetramerium', 'Thunbergia', 'Yeatesia']"
589,Bignoniaceae,"['Adenocalymma', 'Amphilophium', 'Amphitecna', 'Anemopaegma', 'Arrabidaea', 'Bignonia', 'Campsis', 'Catalpa', 'Ceratophytum', 'Chilopsis', 'Crescentia', 'Cydista', 'Distictella', 'Distictis', 'Dolichandra', 'Dolichandrone', 'Handroanthus', 'Incarvillea', 'Jacaranda', 'Kigelia', 'Macfadyena', 'Mansoa', 'Markhamia', 'Martinella', 'Paragonia', 'Parmentiera', 'Pithecoctenium', 'Podranea', 'Pyrostegia', 'Roseodendron', 'Saritaea', 'Spathodea', 'Tabebuia', 'Tecoma', 'Tecomanthe', 'Tynanthus']"
590,Byblidaceae,[]
591,Calceolariaceae,['Calceolaria']
592,Carlemanniaceae,[]
593,Gesneriaceae,"['Acanthonema', 'Achimenes', 'Aeschynanthus', 'Agalmyla', 'Allocheilos', 'Alloplectus', 'Allostigma', 'Alsobia', 'Amalophyllon', 'Anetanthus', 'Anna', 'Asteranthera', 'Beccarinda', 'Bellonia', 'Besleria', 'Boea', 'Boeica', 'Briggsia', 'Briggsiopsis', 'Cathayanthe', 'Championia', 'Chautemsia', 'Chirita', 'Chiritopsis', 'Chrysothemis', 'Cobananthus', 'Codonanthe', 'Codonanthopsis', 'Colpogyne', 'Columnea', 'Conandron', 'Corallodiscus', 'Coronanthera', 'Corytoplectus', 'Crantzia', 'Cremersia', 'Cremosperma', 'Cremospermopsis', 'Cubitanthus', 'Cyrtandra', 'Cyrtandromoea', 'Cyrtandropsis', 'Dalbergaria', 'Deinostigma', 'Depanthus', 'Diastema', 'Didissandra', 'Didymocarpus', 'Didymostigma', 'Drymonia', 'Emarhendia', 'Episcia', 'Epithema', 'Eucodonia', 'Fieldia', 'Gasteranthus', 'Gesneria', 'Glossoloma', 'Gloxinella', 'Gloxinia', 'Gloxiniopsis', 'Goyazia', 'Gyrocheilos', 'Gyrogyne', 'Haberlea', 'Hemiboea', 'Hemiboeopsis', 'Henckelia', 'Heppiella', 'Hexatheca', 'Hovanella', 'Hypocyrta', 'Jancaea', 'Jerdonia', 'Kaisupeea', 'Kohleria', 'Lampadaria', 'Lembocarpus', 'Leptoboea', 'Litostigma', 'Loxonia', 'Loxostigma', 'Lysionotus', 'Mandirola', 'Metapetrocosmea', 'Mitraria', 'Monophyllaea', 'Monopyle', 'Moussonia', 'Napeanthus', 'Nautilocalyx', 'Negria', 'Nematanthus', 'Neomortonia', 'Niphaea', 'Nodonema', 'Nomopyle', 'Oerstedina', 'Orchadocarpa', 'Oreocharis', 'Ornithoboea', 'Paliavana', 'Paraboea', 'Paradrymonia', 'Pearcea', 'Peltanthera', 'Pentadenia', 'Petrocodon', 'Petrocosmea', 'Pheidonocarpa', 'Phinaea', 'Phylloboea', 'Platystemma', 'Primulina', 'Pseudochirita', 'Ramonda', 'Raphiocarpus', 'Reldia', 'Resia', 'Rhabdothamnopsis', 'Rhabdothamnus', 'Rhoogeton', 'Rhynchoglossum', 'Rhynchotechum', 'Rhytidophyllum', 'Ridleyandra', 'Rufodorsia', 'Saintpaulia', 'Sanango', 'Sarmienta', 'Schizoboea', 'Seemannia', 'Senyumia', 'Sepikaea', 'Sinningia', 'Smithiantha', 'Solenophora', 'Spelaeanthus', 'Sphaerorrhiza', 'Stauranthera', 'Streptocarpus', 'Tetraphyllum', 'Titanotrichum', 'Trachystigma', 'Trichosporum', 'Trisepalum', 'Tylopsacas', 'Vanhouttea', 'Wentsaiboea', 'Whytockia']"
594,Lamiaceae,"['Acanthomintha', 'Aegiphila', 'Agastache', 'Ajuga', 'Ballota', 'Blephilia', 'Brazoria', 'Callicarpa', 'Caryopteris', 'Cedronella', 'Chaiturus', 'Clerodendrum', 'Clinopodium', 'Coleus', 'Collinsonia', 'Conradina', 'Cornutia', 'Cunila', 'Dicerandra', 'Dracocephalum', 'Elsholtzia', 'Faradaya', 'Galeobdolon', 'Galeopsis', 'Glechoma', 'Gmelina', 'Haplostachys', 'Hedeoma', 'Holmskioldia', 'Hyptis', 'Hyssopus', 'Lallemantia', 'Lamium', 'Lavandula', 'Leonotis', 'Leonurus', 'Lepechinia', 'Leucas', 'Lycopus', 'Macbridea', 'Marrubium', 'Marsypianthes', 'Meehania', 'Melissa', 'Mentha', 'Micromeria', 'Moluccella', 'Monarda', 'Monardella', 'Mosla', 'Nepeta', 'Ocimum', 'Origanum', 'Orthosiphon', 'Perilla', 'Perovskia', 'Petitia', 'Phlomis', 'Phyllostegia', 'Physostegia', 'Piloblephis', 'Plectranthus', 'Pogogyne', 'Pogostemon', 'Poliomintha', 'Premna', 'Prunella', 'Pycnanthemum', 'Rhododon', 'Rosmarinus', 'Salazaria', 'Salvia', 'Satureja', 'Scutellaria', 'Sideritis', 'Stachydeoma', 'Stachys', 'Stenogyne', 'Synandra', 'Tectona', 'Tetraclea', 'Teucrium', 'Thymus', 'Trichostema', 'Vitex', 'Volkameria', 'Warnockia']"
595,Lentibulariaceae,"['Pinguicula', 'Utricularia']"
596,Linderniaceae,"['Craterostigma', 'Lindernia', 'Torenia']"
597,Martyniaceae,"['Craniolaria', 'Ibicella', 'Martynia', 'Proboscidea']"
598,Oleaceae,"['Chionanthus', 'Fontanesia', 'Forestiera', 'Forsythia', 'Fraxinus', 'Haenianthus', 'Jasminum', 'Ligustrum', 'Menodora', 'Nestegis', 'Noronhia', 'Olea', 'Osmanthus', 'Syringa']"
599,Orobanchaceae,"['Aeginetia', 'Agalinis', 'Alectra', 'Aureolaria', 'Bartsia', 'Bellardia', 'Boschniakia', 'Brachystigma', 'Buchnera', 'Buttonia', 'Castilleja', 'Chloropyron', 'Cistanche', 'Conopholis', 'Cordylanthus', 'Cycnium', 'Dasistoma', 'Dicranostegia', 'Epifagus', 'Euphrasia', 'Kopsiopsis', 'Macranthera', 'Melampyrum', 'Nesogenes', 'Odontites', 'Orobanche', 'Orthocarpus', 'Parentucellia', 'Pedicularis', 'Rhinanthus', 'Schwalbea', 'Seymeria', 'Sopubia', 'Striga', 'Triphysaria']"
600,Paulowniaceae,['Paulownia']
601,Pedaliaceae,"['Ceratotheca', 'Harpagophytum', 'Sesamum']"
602,Phrymaceae,"['Diplacus', 'Glossostigma', 'Hemichaena', 'Mazus', 'Mimulus', 'Phryma']"
603,Plantaginaceae,"['Angelonia', 'Antirrhinum', 'Bacopa', 'Callitriche', 'Chaenorhinum', 'Chelone', 'Chionophila', 'Collinsia', 'Cymbalaria', 'Digitalis', 'Dopatrium', 'Epixiphium', 'Erinus', 'Galvezia', 'Gambelia', 'Gratiola', 'Hebe', 'Hippuris', 'Holmgrenanthe', 'Howelliella', 'Keckiella', 'Kickxia', 'Lagotis', 'Leucospora', 'Limnophila', 'Limosella', 'Linaria', 'Littorella', 'Lophospermum', 'Mabrya', 'Maurandella', 'Maurandya', 'Mecardonia', 'Micranthemum', 'Misopates', 'Mohavea', 'Neogaerrhinum', 'Nothochelone', 'Nuttallanthus', 'Penstemon', 'Picrorhiza', 'Plantago', 'Pseudolysimachion', 'Pseudorontium', 'Russelia', 'Sairocarpus', 'Schistophragma', 'Scoparia', 'Stemodia', 'Synthyris', 'Tonella', 'Veronica', 'Veronicastrum']"
604,Plocospermataceae,[]
605,Schlegeliaceae,['Schlegelia']
606,Scrophulariaceae,"['Bontia', 'Buddleja', 'Capraria', 'Emorya', 'Eremophila', 'Leucophyllum', 'Myoporum', 'Nemesia', 'Phygelius', 'Scrophularia', 'Verbascum']"
607,Stilbaceae,[]
608,Tetrachondraceae,['Polypremum']
609,Thomandersiaceae,[]
610,Verbenaceae,"['Aloysia', 'Bouchea', 'Citharexylum', 'Congea', 'Duranta', 'Glandularia', 'Lantana', 'Lippia', 'Nashia', 'Petrea', 'Phyla', 'Priva', 'Stachytarpheta', 'Tamonea', 'Verbena']"
611,Paracryphiaceae,[]
612,Convolvulaceae,"['Aniseia', 'Argyreia', 'Astripomoea', 'Bonamia', 'Calystegia', 'Convolvulus', 'Cressa', 'Cuscuta', 'Dichondra', 'Evolvulus', 'Ipomoea', 'Jacquemontia', 'Merremia', 'Operculina', 'Porana', 'Poranopsis', 'Stictocardia', 'Stylisma', 'Turbina', 'Xenostegia']"
613,Hydroleaceae,['Hydrolea']
614,Montiniaceae,"['Grevea', 'Kaliphora', 'Montinia']"
